"Type","NPT4","PCTPELL","PCTFLOAN"
"Public",-0.936075914499611,-1.5568713457448,-1.87905175092595
"Private",2.31265701857335,-1.70143402844623,0.110773221805429
"Public",-0.560261227624822,-0.591756328841848,0.421550789508145
"Private",-0.794995107766665,0.96342900927638,0.725964311455856
"Private",0.752618590334138,-0.123973308402311,0.845113390313439
"Private",0.459101040720234,0.433820439002269,1.26902954921623
"Private",0.282750032304052,-0.0144147972983959,0.57287365523825
"Public",-0.536079763591997,-0.722681022609182,-1.87905175092595
"Public",0.217152801143184,-1.36366650251176,-0.0352462724621722
"Private",-1.08530627540937,-0.283992378562386,-1.87905175092595
"Private",0.124034124729487,1.79989233056768,1.58723183696645
"Public",-0.561062823117623,-0.754502996788743,-0.271423081592336
"Public",-1.18096333755026,0.74567578596196,-1.63863224462579
"Private",1.9685053536642,-1.75780438270717,0.550599495095735
"Public",-1.15130430431663,-0.959982030062475,-1.3706352067206
"Public",-0.872349072821945,0.0728683318798268,-0.786557229650194
"Private",1.17345622405457,-0.653127279045286,1.26690820063123
"Private",0.777334451362164,-0.909976070637452,0.765562818375884
"Private",-0.468344944450326,0.168334254418508,0.145068357262953
"Private",1.62528888349664,0.290166955563111,0.988657977898539
"Public",-1.11242692291579,1.19209262373808,-0.143081492199747
"Public",-0.869810687094742,-1.27865637148922,-0.475426103849978
"Private",-0.789250340068259,0.950700219604557,0.37099198156561
"Public",-0.84790041029152,-0.083059341600019,-0.00660806656465231
"Private",1.0004451968584,0.472916007280014,0.628735834643289
"Private",-0.430669956288687,0.772951763830155,0.231336533053013
"Private",0.723360354846908,-1.56914553578549,-1.00293478532034
"Private",1.33177133388274,1.23891638574515,0.494737315690696
"Public",1.26376931624347,-1.63688088082484,-0.192226067752281
"Public",-1.08503907691177,-1.03089957251978,-1.20057376182298
"Private",-0.148641942071595,0.251071387285365,0.223204696810507
"Public",-0.27823321340773,-0.836330930393327,-0.265766152032332
"Private",0.710134029215694,-0.0298711847570393,1.24357336619622
"Private",1.2959667352043,0.546106547893003,0.834860205485932
"Private",-1.02772499917651,-0.130337703238223,0.494030199495695
"Private",-0.21143358900766,-0.304449361963532,0.421904347605646
"Private",0.847474056982237,1.20936740972127,1.06149094598359
"Public",-0.958520588298034,-0.85315111674538,-1.82743226869092
"Private",1.19095772564739,-0.726317819658275,1.06396585266609
"Private",-0.473020918158331,-0.192617852703934,-0.0543384097271853
"Private",0.503856789068281,-0.28081018114443,0.461502854525673
"Public",-1.39418773863529,0.418818651174762,-1.87905175092595
"Public",-1.35143597901924,-0.11078991909935,-1.28083144995554
"Private",0.58054275787956,0.446549228674093,-0.111261263424725
"Private",0.563575653281943,-0.229440422825997,1.03179206579357
"Private",0.260839755500829,-0.644944485684828,0.252196460805528
"Private",0.743934639162129,1.74488577520016,1.16225500377116
